,date,Sticky_Price_CPI,Sticky_Price_CPI_Risk_Score,Sticky_Price_CPI_Less_Shelter,Sticky_Price_CPI_Less_Shelter_Risk_Score,Sticky_Price_CPI_Less_Food_Energy,Sticky_Price_CPI_Less_Food_Energy_Risk_Score,Sticky_Price_CPI_Less_Food_Energy_Shelter,Sticky_Price_CPI_Less_Food_Energy_Shelter_Risk_Score,Trimmed_Mean_PCE_Inflation_Rate,Trimmed_Mean_PCE_Inflation_Rate_Risk_Score,16_Percent_Trimmed_Mean_CPI,16_Percent_Trimmed_Mean_CPI_Risk_Score,Median_CPI,Median_CPI_Risk_Score,Flexible_Price_CPI,Flexible_Price_CPI_Risk_Score,Flexible_Price_CPI_Less_Food_Energy,Flexible_Price_CPI_Less_Food_Energy_Risk_Score,Monthly_Risk_Score,Date
0,12/1/1983,4.377,6.0,4.208,6.0,4.465,6.0,4.316,6.0,3.63,6.0,3.876,6.0,4.269,7.0,3.017,4.0,6.637,7.0,6.0,
1,1/1/1984,4.425,6.0,4.437,6.0,4.486,6.0,4.538,6.0,3.59,6.0,4.026,6.0,4.256,7.0,3.917,5.0,6.374,7.0,6.111,
2,2/1/1984,4.471,6.0,4.494,6.0,4.525,6.0,4.586,6.0,3.64,6.0,4.074,7.0,4.229,7.0,4.925,6.0,5.801,7.0,6.333,
3,3/1/1984,4.575,6.0,4.441,6.0,4.654,6.0,4.54,6.0,3.79,7.0,4.147,7.0,4.255,7.0,5.179,6.0,6.211,7.0,6.444,
4,4/1/1984,4.542,6.0,4.422,6.0,4.646,6.0,4.567,6.0,3.78,7.0,4.154,7.0,4.226,7.0,4.498,5.0,6.474,7.0,6.333,
5,5/1/1984,4.624,6.0,4.574,6.0,4.708,6.0,4.7,7.0,3.7,6.0,4.038,6.0,4.195,7.0,3.746,5.0,6.7,7.0,6.222,
6,6/1/1984,4.697,6.0,4.657,7.0,4.787,6.0,4.796,7.0,3.71,6.0,4.037,6.0,4.371,7.0,3.589,5.0,6.583,7.0,6.333,
7,7/1/1984,4.824,7.0,4.711,7.0,4.897,7.0,4.807,7.0,3.8,7.0,4.1,7.0,4.456,7.0,3.301,5.0,6.103,7.0,6.778,
8,8/1/1984,4.943,7.0,4.829,7.0,5.033,7.0,4.951,7.0,3.88,7.0,4.184,7.0,4.439,7.0,3.162,4.0,5.601,7.0,6.667,
9,9/1/1984,4.987,7.0,4.89,7.0,5.141,7.0,5.122,7.0,3.86,7.0,4.23,7.0,4.409,7.0,3.096,4.0,5.184,7.0,6.667,
10,10/1/1984,4.938,7.0,4.787,7.0,5.104,7.0,5.026,7.0,3.94,7.0,4.205,7.0,4.307,7.0,3.136,4.0,4.841,7.0,6.667,
11,11/1/1984,4.82,7.0,4.655,7.0,4.969,7.0,4.863,7.0,3.77,7.0,4.07,6.0,4.117,6.0,2.973,4.0,4.157,7.0,6.444,
12,12/1/1984,4.927,7.0,4.745,7.0,5.053,7.0,4.911,7.0,3.88,7.0,4.053,6.0,4.108,6.0,2.757,4.0,3.798,6.0,6.333,
13,1/1/1985,4.594,6.0,4.25,6.0,4.727,6.0,4.392,6.0,3.73,7.0,3.806,6.0,3.96,6.0,2.171,3.0,3.759,6.0,5.778,
14,2/1/1985,4.735,6.0,4.297,6.0,4.872,7.0,4.424,6.0,3.82,7.0,3.877,6.0,4.04,6.0,1.991,3.0,4.65,7.0,6.0,
15,3/1/1985,4.811,7.0,4.499,6.0,4.962,7.0,4.678,6.0,3.82,7.0,3.961,6.0,4.106,6.0,2.266,3.0,4.422,7.0,6.111,
16,4/1/1985,4.633,6.0,4.47,6.0,4.754,6.0,4.633,6.0,3.61,6.0,3.809,6.0,4.107,6.0,2.189,3.0,3.763,6.0,5.667,
17,5/1/1985,4.878,7.0,4.376,6.0,5.037,7.0,4.526,6.0,3.69,6.0,3.784,6.0,4.1,6.0,1.804,3.0,2.714,5.0,5.778,
18,6/1/1985,4.916,7.0,4.41,6.0,5.057,7.0,4.528,6.0,3.75,7.0,3.889,6.0,4.133,7.0,1.823,3.0,2.344,5.0,6.0,
19,7/1/1985,4.789,7.0,4.346,6.0,4.948,7.0,4.51,6.0,3.55,6.0,3.748,6.0,3.942,6.0,1.615,2.0,1.714,4.0,5.556,
20,8/1/1985,4.792,7.0,4.212,6.0,4.945,7.0,4.337,6.0,3.54,6.0,3.498,6.0,3.839,6.0,1.013,2.0,1.337,4.0,5.556,
21,9/1/1985,4.702,6.0,4.182,6.0,4.787,6.0,4.207,6.0,3.5,6.0,3.419,6.0,3.754,6.0,0.973,2.0,1.368,4.0,5.333,
22,10/1/1985,4.824,7.0,4.29,6.0,4.892,7.0,4.284,6.0,3.46,6.0,3.406,6.0,3.751,6.0,0.742,2.0,1.321,4.0,5.556,
