Date,Sticky_Price_CPI,Sticky_Price_CPI_Less_Shelter,Sticky_Price_CPI_Less_Food_Energy,Sticky_Price_CPI_Less_Food_Energy_Shelter,Trimmed_Mean_PCE_Inflation_Rate,16_Percent_Trimmed_Mean_CPI,Median_CPI,Flexible_Price_CPI,Flexible_Price_CPI_Less_Food_Energy
1968-01-01,3.716599598,4.00643476,3.659987292,3.980729905,,,,3.141071771,5.578571343
1968-02-01,3.743138857,4.053200374,3.682012499,4.024829783,,,,3.313801374,5.088472421
1968-03-01,4.189962849,4.357155239,4.151667589,4.333090534,,,,3.621272494,5.18923609
1968-04-01,4.173220944,4.338833362,4.165427174,4.364945132,,,,3.886497398,5.042406628
1968-05-01,4.138671483,4.478256645,4.097704474,4.490796866,,,,4.012919407,4.953721496
1968-06-01,4.565573664,4.580171229,4.557597098,4.570581598,,,,3.82484335,5.52655168
1968-07-01,4.746177566,4.494458312,4.766361188,4.468380895,,,,3.615392387,5.129392079
1968-08-01,4.939967176,4.616510533,4.960194431,4.573433646,,,,3.556593424,4.987463833
1968-09-01,4.936805457,4.612705792,4.961849181,4.577528532,,,,3.523783306,4.766146384
1968-10-01,5.170352199,4.797545458,5.198351909,4.755786565,,,,3.903415336,4.608452065
1968-11-01,5.337452573,4.882161107,5.414944837,4.902508336,,,,3.86105787,4.759254881
1968-12-01,5.61556814,5.136914429,5.72486893,5.204421637,,,,3.560175935,3.912098427
1969-01-01,5.621812667,4.978073877,5.765763045,5.064315607,,,,3.345218779,3.449154547
1969-02-01,5.621433737,4.989884892,5.769158001,5.084857475,,,,3.503962876,4.445486545
1969-03-01,5.947254157,4.960839377,6.143376532,5.052313188,,,,4.002298062,5.321265297
1969-04-01,6.313282135,5.175209513,6.524447618,5.255436595,,,,4.182151089,5.050195758
1969-05-01,6.559425637,5.199925365,6.799346963,5.273967977,,,,4.009461834,4.545887004
1969-06-01,6.219215824,5.264759432,6.392103407,5.324637086,,,,4.572765457,4.320442778
1969-07-01,6.24416691,5.337432681,6.404961413,5.388561862,,,,4.574516845,4.390766472
1969-08-01,6.272492764,5.406150934,6.430385766,5.461988441,,,,4.481812613,4.064220926
1969-09-01,6.673968105,5.497978733,6.850795793,5.510723065,,,,4.512479277,3.749430584
1969-10-01,6.469862669,5.213321114,6.574721234,5.086663269,,,,4.40050106,4.352991375
1969-11-01,6.402032902,5.137316026,6.451706907,4.917009804,,,,4.879823119,4.510027066
1969-12-01,6.391179191,5.149853496,6.425116862,4.909342813,,,,5.808365458,5.138541102
1970-01-01,6.628346575,5.541727964,6.628279061,5.281909999,,,,5.634945039,5.099891394
1970-02-01,7.05340498,5.69538411,7.09144749,5.43453651,,,,5.565927111,4.119342909
1970-03-01,7.030776931,5.718070059,7.030543696,5.405113868,,,,4.634311873,2.967321396
1970-04-01,6.920173222,5.760508914,6.855423125,5.375972553,,,,4.741045651,3.298284481
1970-05-01,7.038399891,5.802757132,6.98585698,5.42054555,,,,4.9836906,4.093436281
1970-06-01,7.163916798,5.845343819,7.191308106,5.576703147,,,,4.216046944,4.322945533
1970-07-01,7.025343259,6.008652623,7.04714037,5.802276285,,,,4.153722191,4.081249401
1970-08-01,7.100466286,5.986185465,7.154475413,5.81092461,,,,3.746259606,4.076783126
1970-09-01,7.035127774,5.926516098,7.121184091,5.806941406,,,,3.914976628,4.513521695
1970-10-01,6.952715249,5.991521352,7.097174731,6.005302926,,,,4.064255916,4.248809487
1970-11-01,7.169082384,6.354887696,7.376794582,6.510374758,,,,3.605768518,4.461050121
1970-12-01,7.138243878,6.170434574,7.381000774,6.348404053,,,,3.243656239,4.949304393
1971-01-01,6.87835403,6.120822576,7.042661405,6.217816013,,,,3.142727252,5.05664946
1971-02-01,6.24552738,6.152129419,6.360389898,6.325130039,,,,2.840035751,4.996211019
