,Sticky_Price_CPI,Sticky_Price_CPI_less_Shelter,Sticky_Price_CPI_less_food_energy,Sticky_Price_CPI_less_food_energy_shelter,Trimmed_Mean_PCE_Inflation_Rate,16_Percent_Trimmed_Mean_CPI,Median_CPI,Flexible_Price_CPI,Flexible_Price_CPI_less_food_energy,mean
0,6,6,6,6,6,6,7,4,7,6
1,6,6,6,6,6,6,7,5,7,6
2,6,6,6,6,6,7,7,6,7,6
3,6,6,6,6,7,7,7,6,7,6
4,6,6,6,6,7,7,7,5,7,6
5,6,6,6,7,6,6,7,5,7,6
6,6,7,7,7,7,6,7,5,7,7
7,7,7,7,7,7,7,7,5,7,7
8,7,7,7,7,7,7,7,4,7,7
9,7,7,7,7,7,7,7,4,7,7
10,7,7,7,7,7,7,7,4,7,7
11,7,7,7,7,7,7,7,4,7,7
12,7,7,7,7,7,6,6,4,6,6
13,6,6,6,6,7,6,6,3,6,6
14,6,6,7,6,7,6,6,3,7,6
15,7,6,7,6,7,6,6,3,7,6
16,6,6,6,6,6,6,6,3,6,6
17,7,6,7,6,6,6,6,3,5,6
18,7,6,7,6,7,6,7,3,5,6
19,7,6,7,6,6,6,6,2,4,6
20,7,6,7,6,6,6,6,2,4,6
21,6,6,6,6,6,6,6,2,4,5
22,7,6,7,6,6,6,6,2,4,6
23,7,6,7,6,6,6,6,2,4,6
24,7,6,7,6,6,6,6,3,4,6
25,7,7,7,7,7,6,6,3,4,6
26,7,6,7,7,6,6,6,1,2,5
27,7,6,7,6,6,6,6,0,1,5
28,7,6,7,6,6,6,6,0,0,5
29,7,6,7,6,6,5,6,0,1,5
30,7,6,7,6,6,5,6,0,1,5
31,7,7,7,7,6,6,6,0,2,5
32,7,6,7,6,6,6,6,0,3,5
33,7,6,7,6,6,6,6,0,3,5
34,7,6,7,6,6,6,6,0,3,5
35,6,6,6,6,6,5,6,0,3,5
36,6,6,6,6,6,5,6,0,3,5
37,6,6,6,6,6,6,6,0,4,5
38,6,6,6,6,6,6,6,1,4,5
39,6,6,6,6,6,6,6,2,5,5
40,6,6,6,6,6,6,6,5,6,6
41,6,6,6,6,6,6,6,5,6,6
42,6,6,6,5,6,6,6,5,7,6
43,6,6,6,6,6,6,6,5,7,6
44,6,6,6,6,7,6,6,6,7,6
45,6,6,6,6,7,6,7,6,7,6
46,6,6,6,6,7,7,7,6,7,6
47,6,6,6,6,7,7,6,6,7,6
48,6,6,6,5,6,6,6,6,7,6
49,6,6,6,5,6,6,6,5,6,6
50,6,6,6,5,6,6,6,4,6,6
51,6,6,6,5,6,6,6,4,6,6
52,6,6,6,6,6,6,6,5,7,6
53,6,6,6,6,6,6,6,4,6,6
54,6,6,6,6,6,6,6,4,6,6
55,6,6,6,6,7,6,6,5,6,6
56,6,6,6,6,7,6,6,4,6,6
57,6,6,6,6,7,6,6,5,6,6
58,6,7,6,7,7,7,6,5,7,6
59,6,7,6,7,7,7,6,5,6,6
60,6,7,7,7,7,7,7,5,7,7
61,6,7,6,7,7,7,7,5,7,7
62,7,7,7,7,7,7,7,6,7,7
63,6,7,6,7,7,7,7,6,7,7
64,6,7,6,7,7,7,7,6,6,7
65,6,7,6,7,7,7,7,7,6,7
66,6,7,6,7,7,7,7,6,6,7
67,7,7,7,7,7,7,7,6,6,7
68,7,7,7,7,7,7,7,6,6,7
69,6,7,6,7,7,7,7,5,5,6
70,7,7,7,7,7,7,7,5,5,7
71,7,7,7,7,7,7,7,5,5,7
72,7,7,7,7,7,7,7,6,5,7
73,7,7,7,7,7,7,7,6,5,7
74,7,7,7,7,7,7,7,6,6,7
75,7,7,7,7,7,7,7,6,6,7
76,7,7,7,7,7,7,7,5,6,7
77,7,7,7,7,7,7,7,4,6,7
78,7,7,7,7,7,7,7,5,6,7
79,7,7,7,7,7,7,7,5,6,7
80,7,7,7,7,7,7,7,6,7,7
81,7,7,7,7,7,7,7,7,6,7
82,7,7,7,7,7,7,7,7,6,7
83,7,7,7,7,7,7,7,7,6,7
84,7,7,7,7,7,7,7,7,6,7
85,7,7,7,7,7,7,7,6,7,7
86,7,7,7,7,7,7,7,6,7,7
87,7,7,7,7,6,7,7,5,6,7
88,7,7,7,7,6,7,7,5,6,7
89,7,7,7,7,6,7,7,6,7,7
90,7,7,7,7,6,7,7,6,7,7
91,7,7,6,7,6,7,7,5,7,7
92,6,7,6,7,6,6,6,4,7,6
93,6,7,6,7,6,6,6,2,7,6
94,6,7,6,7,6,6,6,1,7,6
95,6,7,6,7,6,6,6,1,7,6
96,6,7,6,7,6,6,6,1,7,6
97,6,6,6,6,6,6,6,1,6,5
98,6,6,6,6,6,6,6,2,6,6
99,6,6,6,6,6,6,6,3,6,6
100,6,6,6,6,6,6,5,2,6,5
101,6,6,6,6,5,5,5,2,6,5
102,6,6,6,6,5,6,5,3,6,5
103,6,6,6,6,6,5,4,3,6,5
104,5,5,5,5,5,5,4,4,6,5
105,5,5,5,5,5,5,3,4,6,5
106,5,5,6,5,5,5,4,4,6,5
107,5,5,5,6,5,5,3,4,5,5
108,5,5,5,6,5,5,3,3,5,5
109,5,5,5,6,5,5,4,4,6,5
110,5,5,5,6,5,5,4,4,6,5
111,5,5,5,5,5,5,3,4,6,5
112,5,5,5,5,5,5,3,4,6,5
113,5,5,5,5,5,5,3,4,6,5
114,5,5,5,6,5,5,3,3,5,5
115,5,5,5,5,5,4,3,3,5,4
116,5,5,5,6,5,5,3,3,5,5
117,5,6,6,6,5,5,3,2,4,5
118,5,5,5,5,5,5,3,3,4,4
119,5,5,5,5,4,5,3,3,5,4
120,5,5,5,5,4,5,4,2,4,4
121,5,5,5,5,4,4,3,2,3,4
122,5,5,5,5,4,4,4,2,2,4
123,5,5,5,5,4,5,4,2,2,4
124,5,5,5,5,4,4,3,2,2,4
125,4,5,5,5,4,4,3,2,3,4
126,4,5,5,5,4,4,3,2,4,4
127,4,5,5,5,4,4,4,3,4,4
128,5,5,5,5,4,5,4,4,4,5
129,4,5,5,5,4,5,5,4,5,5
130,4,4,5,5,4,4,4,3,5,4
131,4,4,4,4,4,4,4,3,4,4
132,4,4,4,4,4,3,4,4,4,4
133,4,5,5,5,4,4,4,4,5,4
134,4,5,4,5,4,4,4,4,5,4
135,4,5,5,5,4,4,5,4,5,5
136,5,5,5,5,4,5,5,4,5,5
137,5,5,5,5,4,5,5,4,5,5
138,5,5,5,5,3,4,5,4,4,4
139,5,5,5,5,3,4,5,3,4,4
140,5,5,5,5,3,4,5,2,4,4
141,5,5,5,5,3,4,5,2,4,4
142,5,5,5,5,4,5,5,2,4,4
143,5,5,5,5,4,4,5,2,4,4
144,5,5,5,5,4,5,5,2,4,4
145,5,5,5,5,4,5,5,3,4,5
146,5,5,5,5,4,5,5,3,4,5
147,4,4,4,5,4,5,5,4,4,4
148,4,4,4,4,3,4,5,4,3,4
149,4,4,4,5,4,4,4,4,3,4
150,4,5,4,5,4,5,4,3,3,4
